Harvard University,72851
Stanford University,46667
University of Wisconsin System,35180
University of Toronto,30616
University of Washington,27620
University of California System,25257
Columbia University,15165
University of Minnesota System,13765
University of Illinois System,11707
University of London,10065
University of Chicago,9651
Princeton University,8572
University of Bristol,7115
Duke University,6809
Johns Hopkins University,6375
State University System of Florida,6109
Washington University (WUSTL),5628
University of Oxford,5471
Chinese University of Hong Kong,5190
Colorado State University,5103
University of Pennsylvania,4941
University of Oregon,4695
University of Bath,4359
Wake Forest University,4203
Cardiff University,4128
Lancaster University,3771
Rutgers State University New Brunswick,3612
University of Munster,3600
University of Munich,2998
University of Michigan System,2970
Carnegie Mellon University,2888
Cornell University,2819
Australian National University,2698
Yale University,2582
University System of Ohio,2520
Norwegian University of Science & Technology (NTNU),2502
University of Cambridge,2401
Tel Aviv University,2385
University of Arizona,2372
McMaster University,2342
London Metropolitan University,2320
University System of Maryland,2243
Louisiana State University System,2190
University of British Columbia,2169
University of Texas System,2138
University of Padua,2022
Iowa State University,1958
University of Auckland,1957
Leiden University,1946
Hebrew University of Jerusalem,1917
University of Helsinki,1909
Boston University,1835
University of St Andrews,1765
University of Rochester,1763
State University of New York (SUNY) System,1707
University of Queensland,1684
Aalto University,1675
Drexel University,1651
University of Alabama System,1610
Dortmund University of Technology,1540
University of Edinburgh,1534
University of Waterloo,1491
University System of Georgia,1481
University of Sydney,1467
University of Copenhagen,1415
University of Antwerp,1406
Vienna University of Economics & Business,1383
Aarhus University,1323
Pompeu Fabra University,1318
University of Kentucky,1292
University of Massachusetts System,1267
Purdue University System,1196
University of Palermo,1190
University of New South Wales Sydney,1169
Indiana University System,1161
University of Vienna,1147
University of Glasgow,1144
Rice University,1141
University of New Brunswick,1133
University of Perugia,1083
University of Miami,1055
University of Freiburg,1028
University of Surrey,1028
Northwestern University,980
Sapienza University Rome,974
University of Cologne,969
University of Buenos Aires,906
University of Erlangen Nuremberg,897
Delft University of Technology,874
Gonzaga University,852
Flinders University South Australia,838
York University - Canada,802
Virginia Polytechnic Institute & State University,801
New York University,772
University of Southern Denmark,746
Kansas State University,744
Humboldt University of Berlin,714
Acadia University,706
University of Valencia,703
University of Amsterdam,702
University of Hawaii System,701
University of Western Australia,700
Hasselt University,675
University of Oslo,638
Washington State University,633
University of Delaware,627
Michigan State University,620
Newcastle University - UK,612
Kangwon National University,607
Central Michigan University,603
University of Nottingham,595
University of Warwick,575
Erasmus University Rotterdam,567
Simon Bolivar University,554
University of Leeds,546
University of Hull,539
University of Kent,537
Medical University of Vienna,528
Hacettepe University,521
Sokoine University of Agriculture,521
University of Sheffield,508
University of Connecticut,506
Utrecht University,506
Roma Tre University,504
Memorial University Newfoundland,502
Peking University,498
University of Adelaide,496
University of Reading,492
University of Milan,491
Texas A&M University System,490
Ruprecht Karls University Heidelberg,489
University of Plymouth,487
Open University - UK,477
University of Manitoba,450
University of Aberdeen,443
University of Basel,427
Carleton University,417
University of Maine System,413
Auburn University System,409
Queens University - Canada,407
Xiamen University,407
University of Southampton,404
La Trobe University,395
National Sun Yat Sen University,390
University of Iowa,387
University of Nebraska System,381
